Israel,Recovered,15449,1
Israel,Active,3744,1
Armenia,Confirmed,17489,1
Armenia,Deaths,293,1
Armenia,Recovered,6571,1
Armenia,Active,10625,1
Japan,Confirmed,17484,1
Japan,Deaths,934,1
Japan,Recovered,15652,1
Japan,Active,898,1
Austria,Confirmed,17189,1
Austria,Deaths,681,1
Austria,Recovered,16089,1
Austria,Active,419,1
Nigeria,Confirmed,17148,1
Nigeria,Deaths,455,1
Nigeria,Recovered,5623,1
Nigeria,Active,11070,1
Kazakhstan,Confirmed,15542,1
Kazakhstan,Deaths,88,1
Kazakhstan,Recovered,9647,1
Kazakhstan,Active,5807,1
Denmark,Confirmed,12437,1
Denmark,Deaths,598,1
Denmark,Recovered,11312,1
Denmark,Active,527,1
Serbia,Confirmed,12426,1
Serbia,Deaths,256,1
Serbia,Recovered,11624,1
Serbia,Active,546,1
Moldova,Confirmed,12254,1
Moldova,Deaths,423,1
Moldova,Recovered,6901,1
Moldova,Active,4930,1
South Korea,Confirmed,12198,1
South Korea,Deaths,279,1
South Korea,Recovered,10774,1
South Korea,Active,1145,1
Ghana,Confirmed,12193,1
Ghana,Deaths,58,1
Ghana,Recovered,4326,1
Ghana,Active,7809,1
Algeria,Confirmed,11147,1
Algeria,Deaths,788,1
Algeria,Recovered,7842,1
Algeria,Active,2517,1
Guatemala,Confirmed,10706,1
Guatemala,Deaths,418,1
Guatemala,Recovered,2096,1
Guatemala,Active,8192,1
Azerbaijan,Confirmed,10662,1
Azerbaijan,Deaths,126,1
Azerbaijan,Recovered,5948,1
Azerbaijan,Active,4588,1
Czechia,Confirmed,10111,1
Czechia,Deaths,331,1
Czechia,Recovered,7358,1
Czechia,Active,2422,1
Cameroon,Confirmed,9864,1
Cameroon,Deaths,276,1
Cameroon,Recovered,5570,1
Cameroon,Active,4018,1
Honduras,Confirmed,9656,1
Honduras,Deaths,330,1
Honduras,Recovered,1075,1
Honduras,Active,8251,1
Morocco,Confirmed,8931,1
Morocco,Deaths,212,1
Morocco,Recovered,7937,1
Morocco,Active,782,1
Norway,Confirmed,8660,1
Norway,Deaths,242,1
Norway,Recovered,8138,1
Norway,Active,280,1
Malaysia,Confirmed,8505,1
Malaysia,Deaths,121,1
Malaysia,Recovered,7733,1
Malaysia,Active,651,1
Sudan,Confirmed,7740,1
Sudan,Deaths,477,1
Sudan,Recovered,2820,1
Sudan,Active,4443,1
Australia,Confirmed,7370,1
Australia,Deaths,102,1
Australia,Recovered,6861,1
Australia,Active,407,1
Finland,Confirmed,7112,1
Finland,Deaths,326,1
Finland,Recovered,6200,1
Finland,Active,586,1
Nepal,Confirmed,6591,1
Nepal,Deaths,19,1
Nepal,Recovered,1158,1
Nepal,Active,5414,1
Cote d'Ivoire,Confirmed,5679,1
Cote d'Ivoire,Deaths,46,1
Cote d'Ivoire,Recovered,2637,1
Cote d'Ivoire,Active,2996,1
Uzbekistan,Confirmed,5493,1
Uzbekistan,Deaths,19,1
Uzbekistan,Recovered,4096,1
Uzbekistan,Active,1378,1
Senegal,Confirmed,5247,1
Senegal,Deaths,70,1
Senegal,Recovered,3525,1
Senegal,Active,1652,1
Tajikistan,Confirmed,5160,1
Tajikistan,Deaths,50,1
Tajikistan,Recovered,3624,1
Tajikistan,Active,1486,1
Congo (Kinshasa),Confirmed,4974,1
Congo (Kinshasa),Deaths,112,1
Congo (Kinshasa),Recovered,628,1
Congo (Kinshasa),Active,4234,1
Guinea,Confirmed,4639,1
Guinea,Deaths,26,1
Guinea,Recovered,3327,1
Guinea,Active,1286,1
Haiti,Confirmed,4547,1
Haiti,Deaths,80,1
Haiti,Recovered,24,1
Haiti,Active,4443,1
Djibouti,Confirmed,4539,1
Djibouti,Deaths,43,1
Djibouti,Recovered,3324,1
Djibouti,Active,1172,1
North Macedonia,Confirmed,4299,1
North Macedonia,Deaths,201,1
North Macedonia,Recovered,1757,1
North Macedonia,Active,2341,1
Gabon,Confirmed,4114,1
Gabon,Deaths,29,1
Gabon,Recovered,1432,1
Gabon,Active,2653,1
Hungary,Confirmed,4077,1
Hungary,Deaths,565,1
Hungary,Recovered,2516,1
Hungary,Active,996,1
Luxembourg,Confirmed,4075,1
Luxembourg,Deaths,110,1
Luxembourg,Recovered,3933,1
Luxembourg,Active,32,1
El Salvador,Confirmed,3941,1
El Salvador,Deaths,76,1
El Salvador,Recovered,2041,1
El Salvador,Active,1824,1
Kenya,Confirmed,3860,1
Kenya,Deaths,105,1
Kenya,Recovered,1328,1
Kenya,Active,2427,1
Ethiopia,Confirmed,3630,1
Ethiopia,Deaths,61,1
Ethiopia,Recovered,738,1
Ethiopia,Active,2831,1
Bulgaria,Confirmed,3453,1
Bulgaria,Deaths,181,1
Bulgaria,Recovered,1817,1
Bulgaria,Active,1455,1
Venezuela,Confirmed,3150,1
Venezuela,Deaths,27,1
Venezuela,Recovered,835,1
Venezuela,Active,2288,1
Greece,Confirmed,3148,1
Greece,Deaths,185,1
Greece,Recovered,1374,1
Greece,Active,1589,1
Thailand,Confirmed,3135,1
Thailand,Deaths,58,1
Thailand,Recovered,2993,1
Thailand,Active,84,1
Bosnia and Herzegovina,Confirmed,3085,1
Bosnia and Herzegovina,Deaths,168,1
Bosnia and Herzegovina,Recovered,2178,1
Bosnia and Herzegovina,Active,739,1
Somalia,Confirmed,2658,1
Somalia,Deaths,88,1
Somalia,Recovered,649,1
Somalia,Active,1921,1
Kyrgyzstan,Confirmed,2562,1
Kyrgyzstan,Deaths,30,1
Kyrgyzstan,Recovered,1902,1
Kyrgyzstan,Active,630,1
Central African Republic,Confirmed,2410,1
Central African Republic,Deaths,14,1
Central African Republic,Recovered,396,1
Central African Republic,Active,2000,1
Cuba,Confirmed,2273,1
Cuba,Deaths,84,1
Cuba,Recovered,1994,1
Cuba,Active,195,1
Croatia,Confirmed,2255,1
Croatia,Deaths,107,1
Croatia,Recovered,2140,1
Croatia,Active,8,1
Maldives,Confirmed,2094,1
Maldives,Deaths,8,1
Maldives,Recovered,1670,1
Maldives,Active,416,1
Mauritania,Confirmed,2057,1
Mauritania,Deaths,93,1
Mauritania,Recovered,373,1
Mauritania,Active,1591,1
Estonia,Confirmed,1975,1
Estonia,Deaths,69,1
Estonia,Recovered,1728,1
Estonia,Active,178,1
Sri Lanka,Confirmed,1915,1
Sri Lanka,Deaths,11,1
Sri Lanka,Recovered,1371,1
Sri Lanka,Active,533,1
Mali,Confirmed,1885,1
Mali,Deaths,104,1
Mali,Recovered,1145,1
Mali,Active,636,1
Nicaragua,Confirmed,1823,1
Nicaragua,Deaths,64,1
Nicaragua,Recovered,1238,1
Nicaragua,Active,521,1
Iceland,Confirmed,1812,1
Iceland,Deaths,10,1
Iceland,Recovered,1796,1
Iceland,Active,6,1
Costa Rica,Confirmed,1796,1
Costa Rica,Deaths,12,1
Costa Rica,Recovered,794,1
Costa Rica,Active,990,1
Lithuania,Confirmed,1776,1
Lithuania,Deaths,76,1
Lithuania,Recovered,1441,1
Lithuania,Active,259,1
South Sudan,Confirmed,1776,1
South Sudan,Deaths,30,1
South Sudan,Recovered,58,1
South Sudan,Active,1688,1
Albania,Confirmed,1672,1
Albania,Deaths,37,1
Albania,Recovered,1064,1
Albania,Active,571,1
Equatorial Guinea,Confirmed,1664,1
Equatorial Guinea,Deaths,32,1
Equatorial Guinea,Recovered,515,1
Equatorial Guinea,Active,1117,1
Slovakia,Confirmed,1552,1
Slovakia,Deaths,28,1
Slovakia,Recovered,1426,1
Slovakia,Active,98,1
New Zealand,Confirmed,1506,1
New Zealand,Deaths,22,1
New Zealand,Recovered,1482,1
New Zealand,Active,2,1
Slovenia,Confirmed,1499,1
Slovenia,Deaths,109,1
Slovenia,Recovered,1359,1
Slovenia,Active,31,1
Guinea-Bissau,Confirmed,1492,1
Guinea-Bissau,Deaths,15,1
Guinea-Bissau,Recovered,153,1
Guinea-Bissau,Active,1324,1
Kosovo,Confirmed,1486,1
Kosovo,Deaths,33,1
Kosovo,Recovered,953,1
Kosovo,Active,500,1
Lebanon,Confirmed,1473,1
Lebanon,Deaths,32,1
